Title,Categories,Servings,Ingredients,Generated Recipe - Baseline 1,Generated Recipe - Baseline 2,Generated Recipe - Extended 1,Generated Recipe - Extended 2,Generated Recipe - Paper
popcorn drops,cookies	low-cal,6 servings,2 c  unsalted popped corn	3    egg whites	1/2 ts baking powder	1/4 ts salt	1/4 ts cream of tartar	2 tb granulated sugar replacement,,,,,
pork chop rose,main dish	red wine,2 servings,"4    pork blade,rib or loin chops	1    small onion,thinly sliced	grated peel of large orange	2 tb brown sugar	1    small orange,thinly sliced	1 ts salt	1/2 c  rose wine	juice of large orange	1/4 ts ground allspice",flour fruit oil bananas mixture if fold margarine boiling over if water margarine churn sauce if margarine churn sauce if margarine sauce if and margarine sauce blend gradually while margarine horseradish and x7 crumbs blend creamed cocoa fruit stewed square margarine can blend <EOS>,chocolate eggs combine minutes glaze light use let oven blend fold squares over flour fruit oil mixture blend hot margarine boiling over and add crumbs blend hot margarine boiling over and add crumbs blend hot margarine boiling over and add crumbs blend hot margarine boiling over and add crumbs blend hot margarine boiling over and add crumbs blend hot margarine boiling over and add crumbs blend hot margarine boiling over and add batte ghee speed blend longer flour margarine comes blend gradually moist fruit moving soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup,in a large bowl combine all ingredients in a small bowl combine the corn egg and oil in a small bowl add the almonds and mix well chill at least hours or overnight in refrigerator for hours or overnight or until the corn is tender <EOS>,heat oven to degrees grease inch square pan in large bowl combine popcorn corn syrup and sugar stir in corn syrup and corn syrup in a mixing bowl beat until fluffy beat in egg whites until foamy fold in stiffly beaten egg whites pour into pan bake at degrees f for minutes remove from pan cool completely on rack <EOS>,peel shrimp leaving tails intact devein if desired combine flour baking powder and salt in a medium bowl add water and next ingredients stir until smooth pour oil to depth of inches into a dutch oven heat to degrees dip shrimp into batter and fry a few at a time until golden drain on paper towels
pork chops cherry sauce,pork	russian,6 servings,"6    pork chops, loin; abt 1/2"" thick	salt; to taste	pepper; to taste	bread crumbs, dry	oil; for frying	;water	1 c  sour cherries; pitted & pureed	sugar; to taste	1/2 ts cinnamon, ground	1/2 ts cloves, ground	1 ts lemon rind; grated	1 tb honey	1/2 tb madeira",flour fruit oil bananas mixture if fold margarine evenly if let stand if until if and paul flour fruit mixture blend gradually margarine spray moist fruit degrees green oven and to scraping which ingredients made batte margarine hickory sides whisk strain blend <EOS>,fold squares over flour fruit airtight mixture blend cookie crumbs blend hot boiling over and cookie crumbs blend hot boiling over blend are beating crisp moist fruit airtight mixture blend hot boiling over and in crumbs blend hot boiling over and souffle scraping slightly ingredients blend hot connection combine oven and souffle scraping slightly ingredients blend <EOS>,combine all ingredients in a small saucepan bring to boil reduce heat to cover simmer hours or until pork is tender add pork and simmer covered for minutes or until pork is tender remove pork chops from heat and serve <EOS>,in large skillet brown pork chops on both sides add pork and brown sugar and salt and cook minutes stirring occasionally add sausage and simmer minutes add sausage and simmer minutes longer serve hot <EOS>,preheat oven at prepare a pie pan with cooking spray in a mixing bowl combine turkey peppers and onions spread mixture into prepared pan in another mixing bowl combine egg whites milk flour salt and pepper pour over turkey mixture bake for minutes or until browned on top sprinkle with cheese and bake for minutes more or until cheese is melted
pork roast,none,6 servings,"3 lb pork roast	1 pk knorrs onion soup mix	1 c  white wine	2    bags or carrots peeled and cut into 2"" pieces	7    potatoes peeled and cut into 2"" cubes	1    carrot finely chopped	1    celery stalk finely chopped	1/2    green pepper finely chopped	1 sm onion finely chopped	3    cloves garlic	1 ts dry mustang	1/2 ts cayanne pepper	salt and pepper	butter",,,,,
pork cumin,mexican	meats	pork	main dish	vegetables,7 servings,"2 lb pork shoulder; boneless, 	1/4 c  unbleached flour	1/2 c  vegetable oil	1/2 c  onion; chopped, 1 medium	2    bacon; slices, cut up	1/2 c  water	2 tb orange juice	2 tb lime juice	2 tb chicken bouillon; (dry)	2 tb cumin seed	1 ts oregano leaves; dried	1/2 ts salt	1/4 ts pepper	4 c  tomatoes; chopped, 4 medium	2 c  potatoes; diced 	1/2 c  dairy sour cream",,,,,
positanos penne contandino,restaurants	dkuhnen msn,4 servings,"1 lb penne rigate	1/3 c  olive oil	2 md zucchini, thinly sliced	1 md onion, finely chopped	1/2 c  finely chopped fresh basil	salt and pepper	1/3 lb goat cheese	1/2 c  grated italian parmesan	cheese",flour fruit oil mixture if fold margarine butter if margarine evenly if until if and paul flour fruit oil mixture blend hot margarine evenly and margarine boiling over blend cookie crumbs blend gradually margarine spray moist fruit degrees frothy yogurt blend to rise minutes scraping which ingredients made batte margarine hickory sides whisk blend <EOS>,cookie squares over together blend continue ghee blend <EOS>,in a large skillet fry the onion and fry the onion until the pork is tender add the onion and the water cook the bacon until the onion is tender add the water and stir until the mixture thickens add the tomatoes and simmer for minutes add the water and cook until the vegetables are tender about minutes add the water and stir until the mixture thickens and thickens stirring occasionally add the water and stir to blend add the water and simmer covered for minutes or until the vegetables are tender and crisp serve with sour cream if desired <EOS>,heat oil in skillet over medium heat add onion and brown sugar and cook until onion is tender add sausage and onion and cook stirring until onion is brown add onion and garlic and cook stirring until onion is tender and liquid is absorbed add onion and garlic and cook stirring until onion is soft add remaining ingredients and simmer until thickened and bubbly and bubbly and cook minutes longer serve hot or reheat with sausage <EOS>,serve with pilaff seasame coated bread salad wfeta cut meat in inch chunks melt butter in large frying pan brown meat transfer to crockery pot stir drained onions and brown sugar into frying pan cook over medium high heat shaking pan until glazed transfer to crockery pot add wine water tomato paste and vinegar to frying pan stir to loosen drippings pour over meat and onions place pickling spices and cloves in a tea ball or cheesecloth bag add to pot season with garlic salt and pepper cover cook on low hours thaw peas add the last half hour of coking cook down juices until slightly reduced serve in ramekins
potato bowls,cooking	live,6 potato bowl,3 lg russet potatoes,hours margarine wafer flour fruit oil machine cocoa margarine butter and margarine wafer blend hot margarine third and margarine wafer and raisins batte margarine spray sides mouth and margarine spray sides mouth blend cereal flour margarine amuse and margarine boiling over blend gradually while margarine spray blend double and marshmallows scraping dredge pour blend <EOS>,flour fruit oil mixture if fold margarine excess portion over blend hot margarine boiling over and cookie crumbs blend double and marshmallows crumb blend <EOS>,in a large skillet saute onion and garlic in oil until onion is tender add onion and basil and saute for minutes add seasonings and cook until cheese is melted and bubbly add cheese and seasonings stir until cheese is melted and smooth add salt and pepper to taste cook over low heat until cheese is melted and bubbly <EOS>,heat oil in heavy large skillet over medium heat add onion and saute until softened about minutes add onion and garlic and cook stirring until softened about minutes add onion and garlic and cook stirring until softened about minutes add zucchini and corn and cook stirring until heated through about minutes add basil and simmer until heated through about minutes add pasta and cook stirring occasionally to minutes or until vegetables are tender and liquid is absorbed <EOS>,mix together zucchini soda sugar butter and beaten egg sift in flour cinnamon cloves and salt stir to blend stir in raisins and nuts and drop batter by the teaspoonful on greased cookie sheet bake in preheated f oven minutes
potato devils food cake,cakes,6 servings,1/4 c  shortening	2 1/4    squares unsweetened chocolate	1    egg	6 tb evaporated milk	2 ts baking powder	1 ts vanilla	1 c  sugar	1/2 c  mashed potatoes	1/4 ts salt	1 1/4 c  flour	1/2 c  chopped nuts,flour fruit oil bananas mixture if fold margarine sugar if peaks if and until blend cookie crumbs blend gradually while margarine nonmetallic blend logs cocoa margarine boiling comes blend creamed bourbon made rise ube min blend <EOS>,fold squares over flour fruit airtight mixture blend double and marshmallows rise chillies thin pour made crumb blend <EOS>,peel potatoes and cut potatoes into small pieces combine all ingredients except potatoes and mix well cover and refrigerate overnight at least hours or overnight in refrigerator overnight or overnight in refrigerator overnight in refrigerator overnight or overnight in refrigerator overnight in refrigerator overnight before serving <EOS>,place potatoes in large pot with water cover and cook minutes or until tender drain and reserve liquid in large skillet over medium heat add onion and saute minutes add potatoes and cook stirring until potatoes are tender about minutes add potatoes and salt and pepper to taste cover and simmer minutes or until vegetables are tender about min remove from heat and let stand covered for hour before serving <EOS>,flour sugar vanilla butter crisco x egg yolks reserve whites coconut baking soda pecans chopped buttermilk mix all ingredients except egg whites beat egg whites and fold into batter pour batter into greased and floured cake pans bake in a preheated degree oven for minutes or until tops turn brown or toothpick comes out clean cool cream cheese nuts lb powdered sugar butter vanilla mix all ingredients in medium size bowl with mixer spread between cake layers and on top
potato kugel bread,breadmaker	breads,6 servings,3/4 c  mashed potatoes 	3/4 c  potato water	2 1/4 tb vegetable oil	3/4 ts salt	1 tb sugar	3 c  bread flour	1 1/2 ts yeast	2 ts wheat germ,flour fruit oil bananas mixture if fold margarine evenly if let stand if until if and paul flour fruit mixture blend gradually margarine spray moist fruit degrees frothy yogurt blend to rise minutes scraping which ingredients made batte margarine hickory sides whisk strain blend <EOS>,chocolate eggs combine minutes glaze blend use let oven blend to flour minutes eggs scraping mugs ingredients blend corn blend too moist few blend <EOS>,combine evaporated milk and sugar in mixing bowl combine flour baking powder and salt add to creamed mixture mix well chill until firm <EOS>,combine all ingredients in a large mixing bowl blend well add the milk and vanilla extract and stir until smooth <EOS>,rinse and dry chicken sprinkle with salt and pepper insert one whole orange in the chicken place in roasting pan breast side down surround with onion slices mix juice with the ginger and pour over the chicken roast uncovered at deg f for hour remove chicken from the oven turn over and smear with honey suround the chicken with the secon orange sliced and return to the oven after five minutes baste with wine and pan juices if browning too quickly cover with foil baste again after hour continue cooking until drumsticks are removed easily about more hour remove the orange from the chicken and slice it garnish with herbs as per taste
potato pancakeslatkes,panckes	jewish	potato	side-dishes,100 servings,4    very large potatoes	1    egg	1 tb salt	1 ds pepper	1 tb flour	2 ts grated onion	1/2 ts baking powder,flour fruit oil bananas mixture if fold margarine evenly if let stand if until if and coated flour fruit mixture blend hot margarine coated and margarine coated and cereal batte crumbs speed blend hot margarine boiling over and cookie crumbs blend gradually while margarine spray and x7 vigorously combine diamonds crumbs blend creamed bourbon made rise ube min blend <EOS>,fold squares over flour fruit airtight mixture blend double and marshmallows rise chillies this pour blend <EOS>,mix all ingredients together and add to the flour mixture mix well cover and let rise for to hours before serving <EOS>,place in large bowl add enough water to cover and let rise in a warm place in a large bowl add the yeast and mix well add the flour and knead until it forms a smooth dough and knead until it forms a smooth dough out on floured board to form a loaf pan and bake in a degree f oven for minutes <EOS>,plus rolled oats quick or old fashioned toasted in oven until they barely start to turn golden b soak raisins in water for minutes c toast uncooked oats quick or old fashion set aside d remove raisins from water drain and set aside e spray two cookie sheets with a thin film of vegetable oil f beat at high speed mixture no into mixture no fold in toasted oats then add raisins drop by spoonful onto cookie sheets bake for approximately minutes at degrees
piemento cheese,appetizers	cheese,12 servings,2 lb velveeta cheese	8 oz chopped piemento (4oz jars)	1 c  mayonnaise	1 ts ground black pepper	1/2 ts ground red pepper,flour fruit oil bananas mixture if fold margarine sauce if margarine sauce if margarine sauce if margarine sauce if and margarine boiling over blend cookie crumbs blend gradually while margarine spray blend x7 crumbs blend creamed cocoa fruit stewed square margarine can blend <EOS>,cookie margarine evenly if let stand if until and until blend hot margarine bubbly if at batte crumbs speed blend hot margarine boiling over and in crumbs blend hot margarine boiling over and in crumbs blend hot margarine boiling over blend continue blend creamed cocoa as cream blend <EOS>,mix all the ingredients together and shape into inch balls and bake at f for minutes or until potatoes are tender and crisp <EOS>,in a large mixing bowl combine the egg milk and salt in a large mixing bowl mix well add the egg and milk and mix well add the egg milk and salt and mix well add the egg and mix well add the egg and milk and mix well add the flour and baking powder and salt and pepper to taste <EOS>,peel and grate the potatoes drain off half the liquid then add remaining ingredients and mix very well oven until crispyserve with apple sauce
pikelets bakestone recipes,breads	breakfast,8 servings,"8 oz plain or unbleached flour	1 ts salt	1/2 oz fresh yeast	1 ts sugar	5 fl warm water	1 ts butter	5 fl warm milk	1    egg, beaten",flour fruit oil bananas mixture if fold margarine sauce if margarine sauce if margarine sauce if margarine sauce if and margarine sauce if margarine sauce if margarine sauce if margarine sauce if and sauce blend gradually while margarine horseradish and creamed blend <EOS>,cookie squares over together blend an moist this thermometer container blend hours flour out let oven blend to rise minutes glaze scraping mugs ingredients blend <EOS>,combine all ingredients in a small bowl and mix well add the cheese and mix well chill for hours or until firm serve with a salad or salad bread <EOS>,combine all ingredients in a mixing bowl blend well and spoon into a bowl cover and chill until firm <EOS>,pour of the milk into a small thickbottomed pot break the chocolate into small bits and add to the milk in the pot over very low heat let the chocolate melt then pour in the rest of the milk bit by bit whisking well with each addition when the chocolate is melted and the milk faintly steaming remove from the heat beat vigorously with a whisk until frothy and serve chocolate per cup of milk and sweeten to taste
pine bark stew,wildgame	fish,1 servings,"2 lb grouper fillets	6    bacon slices, cut small	1 c  onion, finely chopped	3 c  potatoes, diced	24 oz tomatoes, can	2 ts salt	1/4 lb butter	2 tb worcestershire sauce	1/2    catsup, bottle	1/2 c  chili sauce	1/2 ts pepper	1/2 ts thyme	1/2 ts basil",,,,,
pineapple pork roast,main	dish,8-10 servings.,"1 sm onion, sliced	1/4 c  celery sliced	1/4 c  sliced carrots	1    3 pound rolled boneless pork roast	salt and pepper	1 sm bay leaf, crumbled	1/2 c  pineapple juice	1/4 c  soy sauce	1/4 c  apricot preserves	1 ts cornstarch",two eggs combine family glaze blend flour fruit oil mixture if fold margarine evenly if let stand if until if and paul flour fruit mixture blend gradually margarine spray moist fruit degrees frothy yogurt blend to rise minutes scraping which ingredients made batte margarine hickory sides whisk strain blend <EOS>,two eggs combine minutes glaze blend fold margarine boiling over flour fruit oil fryer and registered combine fruit foods blend corporation chocolate combine fluffy and souffle scraping slightly ingredients blend table slow margarine sauceblend after blend hot margarine measure and overnight combine raisins scraping shortening slightly ingredients blend hot margarine workable and overnight combine raisins batte margarine spray refrigerate and dates blend hot margarine boiling over and souffle scraping slightly ingredients blend <EOS>,cook the fish in the skillet for minutes remove fish and cut fish pieces into a large skillet add fish sauce and cook for minutes remove fish and add to the skillet cook for minutes add the fish sauce and seasonings simmer for minutes more or until the potatoes are tender and serve hot <EOS>,heat the oil in a large skillet over medium heat add the onions and saute the onions and saute for minutes add the fish and the fish and the fish and cook for minutes or until the potatoes are soft and the fish is cooked to the touch serve hot <EOS>,mix peanut butter and honey stir mixture into softened ice cream spoon half of ice cream mixture into pie crust sprinkle with half of chopped cashews drizzle fudge sauce over cashews spoon remaining ice cream mixture into pie crust sprinkle with remaining cashews drizzle fudge sauce over cashews freeze until firm about hours garnish with whipped topping and additional fudge sauce if desired minutes hours
pineapple snow  custard sauce,diabetic	desserts	sauces	low-fat/cal,8 servings,"1 tb unflavored gelatin (1 pkg)	2 tb sugar	1/8 ts salt	1/2 c  water	1 1/2 c  unsweetened pineapple juice	2    egg whites	custard sauce, optional	2    eggs, slightly beaten	2 tb sugar	1/4 ts salt	1 1/2 c  skim milk	1 ts vanilla",,,,,
pink dream,beverages,1 servings,3/4 oz white creme de cacao	3/4 oz vodka	3 oz raspberry sherbet	3 oz vanilla ice cream	3 oz ice,,,,,
pinto bean bread,breads,2 servings,"2 c  milk-lukewarm	2 pk dry yeast	2 c  cooked, mashed, unseasoned	pinto beans	2 tb sugar	2 ts salt	2 tb shortening	5 c  flour <5-6c>",flour fruit oil bananas mixture if fold margarine evenly if let stand if until if and paul flour fruit mixture blend gradually margarine spray moist fruit degrees green oven and to rise minutes scraping which ingredients made batte margarine hickory sides whisk strain blend <EOS>,flour fruit candy hershey if chocolate margarine coated while invert chocolate blend hot margarine evenly if until and paul blend souffle scraping slightly ingredients blend hot margarine mealmaster and overnight combine raisins batte margarine sugar sides grounds blend cereal flour margarine rest muffinpan drop if margarine mealmaster if and until blend souffle scraping slightly ingredients blend hot margarine boiling over and souffle scraping rounded slightly ingredients blend <EOS>,combine all ingredients in a small bowl and mix well pour into a glass ice ice ice cream maker according to manufacturer s directions <EOS>,combine all ingredients in a mixing bowl and blend until smooth spoon into serving bowl garnish with whipped cream <EOS>,mix cream cheese and pate and spread in bottom of mold chill dissolve gelatin in cold water heat beef broth and combine with gelatin when pate mixture is firm pour gelatin on top chill unmold and serve with club crackers
piquant thai dipping sauce,sauces	low-fat	thai,4 servings,"1/4 c  tomato sauce	3 tb lime juice	2 tb light brown sugar	1/4 ts chinese chili sauce	1    garlic clove,minced	2 ts fresh mint leaves,coarsely chopped	1 ts lime peel,grated or minced	1 tb cornstarch mixed with	1 tb cold water",two eggs combine minutes light hours margarine eggs if prunes liqueur if prunes liqueur knead slice condensed blend flour fruit oil bananas mixture if fold margarine evenly if let stand if let equal if and until blend gradually flour margarine warm t and cereal batte crumbs speed blend gradually margarine spray moist fruit degrees green oven and to scraping which ingredients made batte margarine hickory sides whisk strain blend corn medium part blend <EOS>,chocolate eggs combine minutes glaze blend flour fruit oil mixture if fold margarine butter if sugar if and t blend hot margarine boiling over blend add crumbs blend hot margarine boiling over and cookie crumbs blend marshmallows batte glass piece blend <EOS>,in a large bowl combine all the ingredients except the yeast mixture in a small bowl stir in the flour and salt and pepper to taste pour the mixture into a small bowl and let rise for at least hours or overnight in the refrigerator <EOS>,combine all ingredients in a mixing bowl blend well add flour mixture to creamed mixture stir until smooth <EOS>,add berries combine milk sugar eggs salt vanilla add flour and beat with electric mixer until smooth pour over berries bake at for minutes or until golden puffy
pitkin county pork chops,meats,6 servings,"2 tb butter	1/2 c  chopped onion	3    cloves garlic, minced	1 ts salt	1/4 c  prepared mustard	1/4 ts cayenne pepper	2 tb cider vinegar	2 tb packed light brown sugar	2 tb worcestershire sauce	6    pork chops 1-1/2 inches thic	3/4 c  ketchup	1/2 c  chili sauce	1/3 c  water",become unsalted and too moist airtight hazelnuts blend hours flour degrees waterbring and double cocoa crockpot ketchup blend only bulk batte look blend roasting wok if and to rise minutes glaze scraping which ingredients made batte season blend <EOS>,flour fruit airtight mixture if fold margarine evenly if until if and t blend double and only bulk flour fruit airtight hershey blend registered combine fruit foods if corporation chocolate and souffle scraping slightly ingredients blend hot margarine mealmaster and overnight combine raisins batte season blend yolks half chocolate and only combined batte margarine fill blend hot margarine mealmaster and overnight combine raisins scraping shortening slightly ingredients blend hot margarine mealmaster and overnight combine raisins batte margarine keeping refrigerate and margarine keeping refrigerate blend yolks half chocolate and only combined scraping slightly ingredients blend table and creamed cocoa fruit stewed square margarine t blend <EOS>,combine all ingredients in a small bowl stir in cornstarch and water stir in the cornstarch stir in the cornstarch stir in the lime juice and the sauce stir in the cornstarch stir in the lime juice and serve over rice <EOS>,combine all ingredients in a mixing bowl and mix well add the remaining ingredients and mix well shape into patties and place on ungreased baking sheet bake at for minutes <EOS>,author of great holiday baking book and the forthcoming light muffins clarkson n potter honey whole wheat bread is a favorite of ours graham flour has some of the wheat bran in it as opposed to plain whole wheat flour measure the ingredients into the container of the bread machine in the order given reverse the order in machines which call for adding the liquids last of all program the machine for wheat bread if your machine offers that choice otherwise select basic bread medium crust and press start
pizza hat crust,pizza	pastry	cake mix,2 servings,van geffen vghc42a	2 pk dry yeast	2/3 c  warm water	2 ts sugar	2 c  cold water	3 tb corn oil	2 tb sugar	1/4 ts garlic salt	1 ts salt	1/2 ts dry oregano leaves	6 1/2 c  all-purpose flour -- (6 1/2	to 7),become and almonds margarine enough blend hours margarine enough flour fruit oil mixture if hot margarine enough and margarine sugar and margarine enough blend add margarine muffinpan drop batte crumbs speed blend hot margarine evenly and margarine enough spray and add crumbs blend hot margarine sugar and margarine until and add crumbs blend hot margarine evenly and margarine enough spray and add crumbs blend hot margarine sugar and margarine until and add crumbs blend hot margarine evenly and margarine enough spray and cereal crumbs blend hot margarine comes and cereal batte crumbs shallow blend gradually moist fruit degrees green oven and to scraping which ingredients made batte margarine hickory sides whisk blend <EOS>,hours margarine per flour fruit mixture and cookie crumbs blend hot margarine boiling over blend add crumbs blend hot margarine boiling over and cookie crumbs blend gradually moist fruit out oven blend to rise minutes scraping shortening except ingredients blend <EOS>,trim ends and place in roasting pan melt butter in skillet over medium high heat brown onion and garlic in butter add onion and garlic cook stirring occasionally until onion is tender add beef and cook until onion is tender add remaining ingredients and simmer for minutes add ribs or more more sauce and bring to a boil reduce heat and simmer covered for minutes or until vegetables are tender <EOS>,melt butter in heavy saucepan over low heat add onion and garlic saute minutes add salt and pepper cook stirring occasionally for minutes add chili sauce and cook stirring until heated through about minutes add chili sauce and cook stirring until heated through about minutes add chili sauce and chili sauce stir well to blend flavors to serve reheat <EOS>,heat the oil in a large skillet add the onion garlic and chili powder saute over low heat until the onion is transparent add the beans by th and mash into a paste until all are used mix well add salt and peppe taste and sprinkle the shredded cheese on top serve as a side dish
pizza meat pie,main dish	easy	meat,4 servings,1 lb lean ground beef	1/2 c  rolled oats	1/2 ts salt	1/4 ts pepper	1 cl garlic crushed or 1/8 tsp minced garlic	1 c  water	1 c  mozzarella cheese	3/4 c  tomato paste	3/4    can mushrooms	1 ts oregano	1 ts grated onion or minced onion	1/3 c  parmesan cheese,,,,,
pizza rice crust,pizza,4,"1 tb oil	1    onion, small, sliced	1    garlic, minced	1 c  mushrooms, sliced	1    green or red pepper	2 c  white rice, cooked	1    egg, beaten	2 1/2 c  part-skim mozzarella	1/2 c  tomato sauce	1/2 ts basil, dried	1/4 ts oregano, dried	1    black pepper, freshly ground	1 ds tabasco sauce	seed the green or red pepper and cut into strips.",two eggs combine minutes light hours margarine workable flour fruit oil mixture blend gradually margarine butter while margarine filter and cookie crumbs blend hot margarine evenly and margarine bottom and margarine bottom and margarine bottom and margarine bottom and margarine bottom and margarine bottom and margarine bottom and margarine bottom and margarine bottom blend raisins and cereal batte margarine spray sides begins and mouth blend gradually margarine can while margarine filter and creamed blend <EOS>,fold margarine excess portion over flour fruit oil mixture blend hot margarine muffinpan cups if muffinpan if and cookie crumbs blend hot margarine muffinpan cups if margarine muffinpan cups if and in crumbs blend hot margarine muffinpan cups if margarine boiling over and in crumbs blend double and marshmallows batte cakes blend <EOS>,in a large skillet brown beef onion and garlic in oil add onion and garlic cook until tender add beef and stir until mixture is bubbly add beef and cook until bubbly add beef and cook until mixture is bubbly and bubbly add meatballs and cook until bubbly add beef mixture and cook until bubbly add remaining ingredients and cook until bubbly and bubbly stirring occasionally add beef mixture and cook until bubbly and bubbly about minutes add beef and cook until bubbly stir in remaining ingredients except cheese and stir until mixture is bubbly and bubbly stir in remaining ingredients and heat thoroughly serve hot <EOS>,in large bowl combine all ingredients in a large mixing bowl and mix well add remaining ingredients and mix well shape into patties and place in greased baking dish and bake at degrees f for minutes <EOS>,marinate steak in the oil sherry chili powder garlic and cumin for several hours refrigerate overnight for best results broil or grill the steak then carve into thin slices across the grain warm tortillas place several slices of meat on each add lettuce cheese onions and your favorite taco sauce roll and eat like a burrito
sauteed cabbage  leeks,side dish	christmas	vegetables,6 servings,"1 tb garlic oil	1/2 lg head red cabbage, chopped	3 ea leeks, white parts alone, - cleaned & sliced	1 ts thyme",flour fruit bananas mixture if fold margarine evenly if let stand if let equal if and until blend hot margarine evenly and cereal batte crumbs speed blend hot margarine evenly and cereal batte crumbs speed blend hot margarine evenly and cereal batte crumbs speed blend hot margarine evenly and cereal batte crumbs speed blend hot margarine evenly and cereal batte crumbs speed blend hot margarine evenly and cereal batte crumbs speed blend hot margarine evenly and cereal batte crumbs speed blend hot margarine evenly and cereal batte crumbs speed blend hot margarine evenly and cereal batte crumbs speed blend hot margarine evenly and cereal batte crumbs speed blend hot margarine cream and cookie crumbs blend gradually margarine spray moist fruit degrees frothy yogurt blend to rise minutes scraping which ingredients made batte margarine hickory sides whisk strain blend <EOS>,cookie margarine cream if sugar if and until blend cookie crumbs blend hot margarine boiling over blend cookie crumbs blend cookie crumbs blend cookie margarine almonds over together blend moderately margarine full square margarine spray moist margarine oven blend to rise minutes scraping candies ingredients blend corn margarine its and too moist few blend <EOS>,in a large skillet heat oil over mediumhigh heat add onion and saute until onion is tender add tomato sauce basil and pepper sauce and cook stirring occasionally until onion is tender about minutes add tomato sauce basil and pepper sauce and heat until mixture thickens and bubbly stirring occasionally add tomato sauce mixture and basil simmer uncovered for to minutes or until thickened and bubbly stirring occasionally add the rice and serve hot <EOS>,in large skillet heat oil over medium heat add onions and garlic saute minutes add onions and garlic saute minutes add onions and garlic cook until softened about minutes add mushrooms and green pepper and stirfry minutes add shrimp and cook minutes longer add shrimp and simmer for minutes <EOS>,in a quart glass measure or casserole combine potatoes beans and water cover with vented plastic wrap or lid and microwave on high minutes stir recover and microwave on high minutes or until tender drain vegetables stir in bell pepper and onion set aside in a bowl combine yogurt mustard dill and pepper stir into potato mixture gently toss in cheese serve after holding at room temperature up to two hours or refrigerate and serve chilled
sauteed chicken paprika,poultry	low-fat	low-cal,4 servings,"3 tb matzo meal	1 tb paprika	1 ts dry mustard	1/4 ts salt, if desired	4    boneless chicken breast halves, skinless	4 ts peanut oil	1/3 c  chopped onion	2    garlic cloves, minced	3/4 c  chicken broth	1/4 c  white wine	1 sm tomato, chopped and seeded	chopped fresh parsley",flour fruit bananas mixture if fold margarine evenly if let stand if until if and paul flour fruit mixture blend gradually margarine spray moist fruit degrees frothy yogurt blend to rise minutes scraping which ingredients made batte margarine hickory sides whisk strain blend corn medium part blend <EOS>,flour fruit airtight mixture if fold margarine excess rinse over blend hot margarine muffinpan drop if peppermint crumbs covering gloss serving blend hot margarine boiling over blend souffle scraping slightly ingredients blend hot margarine boiling over and souffle scraping slightly ingredients blend <EOS>,in a large skillet over medium heat add the garlic and saute for minutes add the vegetables and toss to the sauce toss the vegetables with the vinaigrette and serve <EOS>,heat oil in heavy skillet over medium heat add garlic and cook stirring until golden brown about minutes add garlic and cook stirring until softened about minutes add salt and pepper to taste and cook until softened about minutes add salt and pepper to taste simmer uncovered minutes stirring occasionally remove from heat and let stand covered for minutes remove from heat and let stand minutes remove from heat and let stand minutes before serving <EOS>,melt butter in a heatresistant nonmetallic bowl in micro wave oven seconds beat remaining ingredients until wellblended pour egg mixture into bowl heat uncovered in microwave oven seconds stir heat uncovered in microwave oven to minutes stir ring after each seconds allow to stand to minutes before serving
scallop bubbly bake,seafood	casseroles	main dish,2 servings,"1 lb scallops	1    can lobster meat, 8oz	1 md onion	3    celery stalks	1 cn mushrooms, sliced, 8oz	1 md green pepper, finely diced	2 tb butter	1 cn cream of mushroom soup, 10oz	1 c  buttered bread crumbs",,,,,
scandinavian beef patties beets  cape,meats,4 servings,1    medium russet potato (about	2 tb heavy cream	1 pn ground cloves	2 ts butter	1    small onion; minced	1 lb ground sirloin	1    egg yolk	1/2 c  finely chopped pickled beets	1 tb capers	1/2 c  flour	1 tb vegetable oil,flour fruit oil bananas mixture if fold margarine boiling over if water margarine coated if and margarine coated blend gradually while margarine horseradish and x7 crumbs blend creamed bourbon made rise ube min blend <EOS>,flour fruit oil fryer if registered margarine t combine fruit foods if corporation chocolate and souffle scraping slightly ingredients blend hot margarine mealmaster and souffle scraping slightly ingredients blend hot margarine mealmaster and overnight combine raisins batte margarine spray refrigerate and dates blend hot margarine mealmaster and souffle scraping slightly ingredients blend hot margarine mealmaster and souffle scraping slightly ingredients blend hot margarine mealmaster and souffle scraping slightly ingredients blend <EOS>,combine all ingredients in a small bowl and mix well pour in soup mixture and pour over the vegetables cover and refrigerate at least hours or overnight before serving <EOS>,combine all ingredients in a large mixing bowl and mix well add the remaining ingredients and mix well shape into balls and roll up to form a pocket roll out on a floured board cut each slice of bread in half and place in greased casserole dish top with remaining crumbs bake at for minutes <EOS>,cook bacon until crisp remove from skillet add onion to tbs bacon drippings cook until tender blend in cornstarch salt and mustard drain beans reserving liquid stir in reserved bean liquid cook stirring constantly until thickened and translucent blend in sugar and vinegar add beans heat through top with crumbled bacon and chopped egg
